Address,Long,Lat
"5200 Eastern Ave, BALTIMORE, MD, 21224",-76.553505,39.28721
"2400 E Eager St, BALTIMORE, MD, 21205",-76.5834,39.30184
"2200 Ruskin Ave, BALTIMORE, MD, 21217",-76.64816,39.31481
"400 Homeland Ave, BALTIMORE, MD, 21212",-76.61484,39.353924
"6600 Holabird Ave, BALTIMORE, MD, 21224",-76.53388,39.272453
"700 Gladstone Ave, BALTIMORE, MD, 21210",-76.63152,39.354088
"800 Exeter Hall Ave, BALTIMORE, MD, 21218",-76.60666,39.32265
"100 E 28th St, BALTIMORE, MD, 21218",-76.61564,39.322018
"5900 Belair Rd, BALTIMORE, MD, 21206",-76.54126,39.345413
"1100 Horners Ln, BALTIMORE, MD, 21205",-76.55113,39.30497
"1600 E Biddle St, BALTIMORE, MD, 21213",-76.59652,39.304256
"2000 W Cold Spring Ln, BALTIMORE, MD, 21215",-76.64939,39.345085
"2300 Calverton Heights Ave, BALTIMORE, MD, 21216",-76.6535,39.29777
"1700 Broening Hwy, BALTIMORE, MD, 21224",-76.543434,39.27289
"2700 St Paul St, BALTIMORE, MD, 21218",-76.61561,39.320778
"2300 Eutaw Pl, BALTIMORE, MD, 21217",-76.6354,39.311863
"3900 Springdale Ave, BALTIMORE, MD, 21207",-76.68449,39.32533
"3500 Holmes Ave, BALTIMORE, MD, 21217",-76.65005,39.318745
"900 Forrest St, BALTIMORE, MD, 21202",-76.60773,39.300144
"7100 Supply Ave, BALTIMORE, MD, 21237",-76.53629,39.31224
"5800 Kipling Ct, BALTIMORE, MD, 21212",-76.6058,39.36198
"1300 Asbury Rd, BALTIMORE, MD, 21209",-76.64947,39.37066
"1000 W 36th St, BALTIMORE, MD, 21211",-76.63274,39.331123
"1900 Madison Ave, BALTIMORE, MD, 21217",-76.63291,39.307915
"700 E 35th St, BALTIMORE, MD, 21218",-76.6063,39.33072
"5500 Summerfield Ave, BALTIMORE, MD, 21206",-76.541695,39.333206
"5300 Purlington Way, BALTIMORE, MD, 21212",-76.61775,39.359665
"1800 N Pulaski St, BALTIMORE, MD, 21217",-76.65128,39.308743
"5100 Linden Heights Ave, BALTIMORE, MD, 21215",-76.68169,39.342537
"5300 Frederick Ave, BALTIMORE, MD, 21229",-76.70557,39.2808
"200 Atholgate Ln, BALTIMORE, MD, 21229",-76.69638,39.28512
"500 Overdale Rd, BALTIMORE, MD, 21229",-76.69978,39.289406
"4600 Harford Rd, BALTIMORE, MD, 21214",-76.57007,39.34228
"1200 Cherry Hill Rd, BALTIMORE, MD, 21225",-76.63279,39.25172
"3000 Rosalie Ave, BALTIMORE, MD, 21234",-76.54772,39.36805
"4000 Falls Rd, BALTIMORE, MD, 21211",-76.63687,39.336926
"1700 Moyer St, BALTIMORE, MD, 21231",-76.59396,39.292088
"5200 Florence Ave, BALTIMORE, MD, 21215",-76.67946,39.347725
"4600 Moravia Run Way, BALTIMORE, MD, 21206",-76.53667,39.321537
"800 Gorsuch Ave, BALTIMORE, MD, 21218",-76.60524,39.326748
"900 Andover Rd, BALTIMORE, MD, 21218",-76.60194,39.33678
"3800 Echodale Ave, BALTIMORE, MD, 21206",-76.55566,39.342274
"5600 Wilvan Ave, BALTIMORE, MD, 21207",-76.70166,39.339798
"3400 Echodale Ave, BALTIMORE, MD, 21214",-76.5591,39.346344
"2900 W Strathmore Ave, BALTIMORE, MD, 21209",-76.68514,39.365498
"1400 Covington St, BALTIMORE, MD, 21230",-76.60696,39.27441
"1100 E Lake Ave, BALTIMORE, MD, 21212",-76.59865,39.366688
"2500 Salem St, BALTIMORE, MD, 21217",-76.64257,39.312393
"1700 Holbrook St, BALTIMORE, MD, 21202",-76.60331,39.309326
"1000 Greenmount Ave, BALTIMORE, MD, 21202",-76.60729,39.301373
"2500 Boyd St, BALTIMORE, MD, 21223",-76.65622,39.28632
"1200 Oakhurst Pl, BALTIMORE, MD, 21216",-76.66448,39.30144
"600 Pitcher St, BALTIMORE, MD, 21217",-76.63417,39.3031
"5100 Liberty Heights Ave, BALTIMORE, MD, 21207",-76.70075,39.333015
"5500 Springlake Way, BALTIMORE, MD, 21212",-76.6177,39.36437
"400 N Howard St, BALTIMORE, MD, 21201",-76.6198,39.294033
"100 N Patterson Park Ave, BALTIMORE, MD, 21231",-76.58483,39.29303
"5100 Greenwich Ave, BALTIMORE, MD, 21229",-76.70817,39.291603
"1000 Fleet St, BALTIMORE, MD, 21231",-76.60026,39.284275
"200 S Bouldin St, BALTIMORE, MD, 21224",-76.57099,39.290047
"1600 E Monument St, BALTIMORE, MD, 21205",-76.595924,39.29835
"300 E West St, BALTIMORE, MD, 21230",-76.60971,39.276295
"700 W Monument St, BALTIMORE, MD, 21201",-76.62259,39.297813
"700 W Melrose Ave, BALTIMORE, MD, 21210",-76.63179,39.365505
"3200 Spaulding Ave, BALTIMORE, MD, 21215",-76.674805,39.348347
"1100 E 36th St, BALTIMORE, MD, 21218",-76.601074,39.3317
"6000 Harford Rd, BALTIMORE, MD, 21214",-76.55772,39.356697
"4100 Westview Rd, BALTIMORE, MD, 21218",-76.59755,39.339935
"1900 E North Ave, BALTIMORE, MD, 21213",-76.59171,39.31231
"5600 Grindon Ave, BALTIMORE, MD, 21214",-76.569664,39.358555
"6500 Pioneer Dr, BALTIMORE, MD, 21214",-76.572266,39.36548
"3000 Christopher Ave, BALTIMORE, MD, 21214",-76.556175,39.358315
"6400 Reisterstown Rd, BALTIMORE, MD, 21215",-76.70142,39.35549
"3200 Northern Pkwy, BALTIMORE, MD, 21215",-76.67962,39.354897
"700 N Eden St, BALTIMORE, MD, 21205",-76.59917,39.29826
"3500 Fallstaff Rd, BALTIMORE, MD, 21215",-76.70178,39.365646
"6800 Fait Ave, BALTIMORE, MD, 21224",-76.533066,39.284718
"700 N Lakewood Ave, BALTIMORE, MD, 21205",-76.57951,39.29902
"1200 Harwood Ave, BALTIMORE, MD, 21239",-76.594025,39.35567
"1100 N Stricker St, BALTIMORE, MD, 21217",-76.64173,39.301216
"800 Pennsylvania Ave, BALTIMORE, MD, 21201",-76.62586,39.296417
"6200 Bessemer Ave, BALTIMORE, MD, 21224",-76.541595,39.275517
"1100 N Calhoun St, BALTIMORE, MD, 21217",-76.6403,39.30121
"3900 Elmora Ave, BALTIMORE, MD, 21213",-76.55974,39.317223
"5300 Carriage Ct, BALTIMORE, MD, 21229",-76.70644,39.283306
"4600 Northwood Dr, BALTIMORE, MD, 21239",-76.59596,39.346794
"700 Cator Ave, BALTIMORE, MD, 21218",-76.60627,39.339058
"1600 Westwood Ave, BALTIMORE, MD, 21217",-76.64361,39.30948
"3200 Westmont Ave, BALTIMORE, MD, 21216",-76.670105,39.30173
"400 N Collington Ave, BALTIMORE, MD, 21231",-76.58649,39.295506
"500 S Port St, BALTIMORE, MD, 21224",-76.58221,39.285515
"3700 W Cold Spring Ln, BALTIMORE, MD, 21215",-76.67667,39.335575
"2900 Fendall Rd, BALTIMORE, MD, 21207",-76.705635,39.32612
"1000 N Luzerne Ave, BALTIMORE, MD, 21205",-76.58112,39.301907
"2800 Berwick Ave, BALTIMORE, MD, 21234",-76.555954,39.366016
"100 Central Ave, BALTIMORE, MD, 21222",-76.53006,39.261597
"700 Lafayette Ave, BALTIMORE, MD, 21228",-76.7356,39.284943
"2500 E Hoffman St, BALTIMORE, MD, 21213",-76.58279,39.306908
"6400 Everall Ave, BALTIMORE, MD, 21206",-76.53703,39.354366
"200 N Culver St, BALTIMORE, MD, 21229",-76.67423,39.2889
